"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13137","Verify user can logout successfully","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","7266","test_12_delete_device_cancel","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","17386","Verify error displays for invalid login","","2025-12-24","failed","2025-12-24","LoginTests","Login","",""
"","6985","test_21_edit_poll_interval_empty","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7132","Verify error when both fields are empty","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","7058","test_10_add_duplicate_device_name","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7292","test_09_device_name_too_long","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","16671","test_36_bulk_device_upload","","2025-12-24","broken","2025-12-24","DevicesTests","Device","",""
"","9098","test_22_edit_ip_random_text","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","10068","test_33_add_register_success","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6567","test_05_device_name_special_car123","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7425","test_17_open_device_config_page","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6879","test_07_device_name_special_dash","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","9184","test_02_add_device_success","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","8981","test_27_edit_port_above_limit","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7250","test_14_edit_device_without_name","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","9120","test_20_edit_poll_interval_above_max","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6188","test_29_open_new_slave_page","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7818","test_26_edit_port_zero","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6635","test_28_open_slave_manager","","2025-12-24","broken","2025-12-24","DevicesTests","Device","",""
"","10984","test_18_save_device_configuration","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6850","test_34_cancel_register_popup","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7039","test_32_close_add_register_popup","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","10980","test_11_delete_device","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7421","test_25_edit_ip_empty","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7537","test_31_open_add_register_popup","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6629","test_08_device_name_too_short","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","8214","test_19_edit_poll_interval_below_min","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6346","test_03_add_device_empty_name","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7900","test_23_edit_ip_wrong_format","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6929","test_16_search_non_existing_device","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7232","Verify error for empty password","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","11163","test_13_edit_device_name_success","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7378","Verify error for short password","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","12308","Verify back button does not logout user after login","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","7179","test_30_save_slave_without_register","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6173","test_06_device_name_special_symbols","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6576","test_01_navigate_to_device_module","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","6991","Verify error for empty email","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","5408","Verify user can login with valid credentials","","2025-12-24","passed","2025-12-24","LoginTests","Login","",""
"","6854","test_15_search_device","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","7843","test_24_edit_ip_letters_only","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","10263","test_04_add_device_empty_description_allowed","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
"","13573","test_35_save_slave_after_register_add","","2025-12-24","passed","2025-12-24","DevicesTests","Device","",""
